source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0071677,positive regulation of mononuclear cell migration,0.015750063183301112,True,"""Any process that increases the rate, frequency or extent of mononuclear cell migration. Mononuclear cell migration is the movement of a mononuclear cell within or between different tissues and organs of the body."" [GOC:mah]",76,29,4,16180,0.13793103448275862,0.05263157894736842,query_1,"['GO:0002687', 'GO:0071674', 'GO:0071675']"
GO:BP,GO:0050848,regulation of calcium-mediated signaling,0.017467812783564553,True,"""Any process that modulates the frequency, rate or extent of calcium-mediated signaling, the process in which a cell uses calcium ions to convert an extracellular signal into a response."" [GOC:ai]",78,29,4,16180,0.13793103448275862,0.05128205128205128,query_1,"['GO:0019722', 'GO:1902531']"
GO:BP,GO:0006955,immune response,0.017551624599069338,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",1634,29,12,16180,0.41379310344827586,0.0073439412484700125,query_1,"['GO:0002376', 'GO:0050896']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,0.01911084485775254,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2290,29,14,16180,0.4827586206896552,0.00611353711790393,query_1,['GO:0007165']
GO:BP,GO:0050900,leukocyte migration,0.0199002163767737,True,"""The movement of a leukocyte within or between different tissues and organs of the body."" [GOC:add, ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538]",298,29,6,16180,0.20689655172413793,0.020134228187919462,query_1,"['GO:0002376', 'GO:0016477']"
GO:BP,GO:0002685,regulation of leukocyte migration,0.019950146790689762,True,"""Any process that modulates the frequency, rate, or extent of leukocyte migration."" [GOC:add]",172,29,5,16180,0.1724137931034483,0.029069767441860465,query_1,"['GO:0002682', 'GO:0030334', 'GO:0050900']"
GO:CC,GO:0042581,specific granule,0.027724817911003473,True,"""Granule with a membranous, tubular internal structure, found primarily in mature neutrophil cells. Most are released into the extracellular fluid. Specific granules contain lactoferrin, lysozyme, vitamin B12 binding protein and elastase."" [GOC:jl, ISBN:0721662544, PMID:7334549]",158,29,4,17154,0.13793103448275862,0.02531645569620253,query_1,['GO:0030141']
GO:BP,GO:0072676,lymphocyte migration,0.029495715600213364,True,"""The movement of a lymphocyte within or between different tissues and organs of the body."" [CL:0000542, GOC:BHF, GOC:mah]",89,29,4,16180,0.13793103448275862,0.0449438202247191,query_1,['GO:0071674']
GO:BP,GO:0150077,regulation of neuroinflammatory response,0.03999176965089455,True,"""Any process that modulates the frequency, rate or extent of neuroinflammatory response."" [GOC:aruk, GOC:bc, PMID:10981966, PMID:11099416, PMID:18164423]",32,29,3,16180,0.10344827586206896,0.09375,query_1,"['GO:0050727', 'GO:0150076']"
GO:BP,GO:1905521,regulation of macrophage migration,0.043937967755948486,True,"""Any process that modulates the frequency, rate or extent of macrophage migration."" [GO_REF:0000058, GOC:TermGenie, PMID:25749876]",33,29,3,16180,0.10344827586206896,0.09090909090909091,query_1,"['GO:0071675', 'GO:1905517']"
GO:BP,GO:2000503,positive regulation of natural killer cell chemotaxis,0.049863626216625836,True,"""Any process that activates or increases the frequency, rate or extent of natural killer cell chemotaxis."" [GOC:BHF]",5,29,2,16180,0.06896551724137931,0.4,query_1,"['GO:0035747', 'GO:0140131', 'GO:2000501']"
REAC,REAC:R-HSA-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),0.04987116905588104,True,Cross-presentation of particulate exogenous antigens (phagosomes),8,26,2,11056,0.07692307692307693,0.25,query_1,['REAC:R-HSA-1236975']
GO:CC,GO:0140139,solid phase of basement membrane,0.04999664125179174,True,"""The solid compartment of the basement membrane ECM, including a specific subset of basement membrane collagens and basement membrane glycoproteins like laminins or nidogens."" [PMID:33972551]",14,29,2,17154,0.06896551724137931,0.14285714285714285,query_1,"['GO:0005604', 'GO:0030312']"
